No,Ulasan,Label,Pelayanan,Fasilitas,Wahana,Kuliner
223,its okayy lumay wahana harga bilang affordable saran main reta bebek air worth uang luark rendam kaki gratis renang gratis banget tuju luang,1,0,1,1,0
224,mantaaaapp pwoolll recomended banget libur luarga,1,0,1,0,0
225,tiket masuk nya murah suasana senang utama anak gajebo paka santa lihatk sawah hirup udara segar masuk wisata favorit daerah trawas,1,0,1,0,0
226,padat unjung tidak batas unjung management parkir mobil tidak rapi jeblos untung murah,0,1,1,0,0
227,bagus kolam renang sumber langsung ikan spot foto jual enak enak makan harga jangkau atv nya sepeda gantung sepeda bebek air reta reta sewa kamar weekend harga sewa kamar beda acara,1,0,1,1,1
228,suasana nyaman nyanta pandang ubud,1,0,1,0,0
229,wisata bagus cocok luarga refresh saji pandang sawah latar gunung anggung,1,0,1,0,0
230,tiket murah suasana asri saran tambahin teduh gubu sawah kasih pas musim hujan,0,0,1,0,0
231,nyaman ramai enang healing tipis recomended sekal gess,1,0,1,0,0
232,pandang akjub lokasi sawah panas tidak pungkir biaya masuk murah harga makan jangkau cocok salah destinasi wisata kunjung,0,0,1,0,1
233,sejuk spot foto,1,0,1,0,0
234,bagus referensi healing luarga,1,0,1,0,0
235,bagus tiket masuk murah riah,1,0,1,0,0
236,bersih sejuk tugas ramah,1,1,1,0,0
237,sawah cocok banget seru an,1,0,1,0,0
238,admin ramah asli admin tidak ramah,0,1,0,0,0
239,bagus banget alam desa asli tani panen padi pisah biji padi daun tradisional api ikan seru sih urut ikan gede asa banget kaki gigit ikan geli sumber air asli segar dingin air kolam kayak asli sumber air ya kaporit dasar kolam batu an enang bareng ikan cocok rekreasi luarga wahana reta sawah seru ngeri pas rel ikung bis kayak masuk ya elf jalan mobil luarga papas henti salah,0,0,1,1,0
240,ulang kali dagang motor sampa bangun kembang reta sawah ahu bebek becak langit,1,0,1,1,1
241,suka reta sawah doang makan murah banget,1,0,0,1,1
242,mobil kondisi nya tanja curam,0,0,1,0,0
243,weekend macet,0,0,1,0,0
244,pagi banget sih rama minus rumah makan mending spot cafe,0,0,0,0,1
245,rekreasi luarga murah riah lengkap banget kolam renang api ikan warung makan main anak musholla toilet lengkap pokok,1,0,1,1,0
246,sejuk sekal hawa,1,0,1,0,0
247,healing tipis harga murah pandang bagus worth,1,0,1,0,0
248,wisata luarga trawas jawa timur,1,0,1,0,0
249,wisata alam tema sawah sumber air,1,0,1,0,0
250,golong eduwisata naturalis fasilitas lumay unjung,1,0,1,0,0
251,wisata kuarga rekomended,1,0,1,0,0
252,asri kolam renang area main cocok wisata luarga,1,0,1,1,0
253,bagus sekal pandang,1,0,1,0,0
254,recommended banget guys epic pokok akses akut hehe,0,0,1,0,0
255,alam sejuk cocok wisata luarga pengin mbali,1,0,1,0,0
256,bagus pandang nya banget apalag suasana sawah luas alam wahana,1,0,1,1,0
257,wisata bagus wahana fresh rekomen harga tiket rakyat,1,0,1,1,0
258,orang,0,0,1,0,0
259,seru bagus,1,0,1,1,0
260,nyaman harga tiket jangkau,1,0,1,0,0
261,lumay isi kosong pekan udara sejuk pandi sunga nya alam api ikan ndara kuat nanjak saran jalur trawas panda jalur cimory nanjak extrim,0,0,1,0,0
262,temapt arik ikmat suasana sumber air gunung benah lengkap wahana,1,0,1,1,0
263,pilih rekreasi alam,1,0,1,0,0
264,pikniable luarga larajg bawa makan minum toilet mushollah bersih harga tiket wahana murah riah ceria syalalalala sedia gazebo meja manfaat unggu anak pengin enang kolam sumber parkir luas khawatir unjung arah lapang parkir umput yaaaah bagus mobil roda mobil masuk lumpur alam suam batu dorong mobil unjung mobil jebak akses jalan arah pandu hati hati masuk lokasi tikung tajam jalan urun curam driver mahir trampil uasa medan,0,1,1,1,1
265,bagus santae,0,0,1,0,0
266,keren sejuk plang nama wisata nya tolong perjelas uju langsung belok gang masuk nya marin cari bantu google map nyasar posisi masuk gang jalan nya urun tidak lihat nama wisata nya,0,0,1,0,0
267,ekonomis indah,1,0,1,0,0
268,enak makan enak harga standart pandang bagus ig fitriya hanim,1,0,1,0,1
269,harga tiket masuk murah sekal pandang sawah hijau bagus sekal cocok jalan jalan ikmat indah alam trek jalan lumay asering sawah jual pandi wahana main akses masuk antri masuk saran jalan masuk beda biar tidak antri mohon parkir paving hujan tidak becek marin mobil tidak parkir ban nyngkut tanah becek semoga fasilitas,0,1,1,1,0
270,sayang pas hujan puas main air nya,0,0,1,0,0
271,enak nyanta pandang bagus angin semilir area main anak,1,0,1,1,0
272,istrahat,0,0,1,0,0
273,wisata luarga murah riah makan standart harga golong murah,1,0,1,0,1
274,sarana fun gathering jaga kompak teman teman wisataw elola lahan sawah bukit ambah suasana unik,1,0,1,0,0
275,pas weekend minggu rama luarga ramah wahana main anak suguh hampar sawah kebun sepert kebun caba tiket masuk wahana harga gantung wahana area kolam renang cocok anak tidak main reka alam,1,0,1,1,0
276,bagus alam cuman pas hujan alamat pindah warung warung lupa bawa payung,0,0,1,0,1
277,sejuk ya air ya segar lagsung sumber ya,1,0,1,0,0
278,apik wahana tiket nya murah,1,0,1,1,0
279,tiket murah wahana,1,0,1,0,0
280,bagus nya harga jangkau,1,0,1,0,0
281,murah bagus instagram meble banget,1,0,1,0,0
282,atur tidak parkir tidak unjung biar masuk sampa area tidak arah parkir suruh jalan tembus pintu,0,1,0,0,0
283,sebenar wisata seru konsep unik urut erima wisataw efek viral wisata overload utama pekan pas overload masuk pulang cewa suasana lumay ekspektasi bagus banget sepert foto foto sosmed asli sawah percantik kadang hijau cantik kadang kuning lumpur fasilitas urut toilet wahana tidak tika overload fasilitas antri stok duduk teduh banding wisataw kaki pegal panas habis main main lapar sayang stand makan antri sampa masuk jam makan sendir minat cuali sete fasilitas sepert usaha elola ambah fasilitas aktif tips nyaman sebisa hindar weekend bawa tikar sendir duduk bawa bekal makan sendir medan prigen sulit uju kampung duduk jalan sempit turun ndara sehat emudi pilik alam,0,1,1,1,1
284,salah hidden gems trawas akses jalan masuk kampung sete lebar bus pariwisata masuk harga tiket masuk rp anak bayar tiket parkir mobil rp tiket masuk ikmat wahana pandi kolam air dingin kolam api ikan pondok gazebo sebar sawah gratis duduk foto wahana bayar si kayak atf kuda sepeda becak layang reta makan agam harga jangkau goreng gede pcs minum saset rp mie cup rp rujak manis rp puding rp aneka rupuk hasil kebun kayak ubi mentah jeruk overall puas healing orang dewasa main anak area swa foto instagram able,1,0,1,1,1
285,bagus,1,0,1,0,0
286,luarga oke,1,0,1,0,0
287,suasana dinginmmm banget,1,0,1,0,0
288,senang,1,0,1,1,0
289,bagus wahana gratis ex kolam bayar asri,1,0,0,1,0
290,main wisata sete selang luas jalan masuk bagus wahana banget tiket masuk rp ribu orang pujasera seru banget deh kayak one stop wisata sesal main fasilitas lengkap toilet mushola gratis saung duduk santa harga wahana wisata ribu orang gantung wahana ya yuk mari kunjung gengs,1,0,1,1,1
291,sejuk hargau jangkau pilih luarga libur,1,0,1,0,0
292,bagus hangout utama luarga,1,0,1,0,0
293,wisata murah riah daerah trawas patut coba enang api ikan main wahana ikmat udara segar sawah kolam sedia stand makan harga jangkau hati hati masuk area wisata jalan raya pas tanja belo unjuk jalan,0,0,1,1,1
294,asri pandang sepert desa,1,0,1,0,0
295,bagus banget,1,0,1,0,0
296,wisata sawah entram hati,1,0,1,0,0
297,bagus fasilitas lengkap wahana main seru harga tiket murah kolam renang reta sawah bebek air sepeda layang sampa becak terbang cocok rekreasi bareng anak,1,0,1,1,0
298,suasana nyaman betah,1,0,1,0,0
299,wisata murah manfaat,1,0,1,0,0
