ulasan,label,pelayanan,fasilitas,wahana,kuliner
"Bagus, tapi harus datang pagi biar gak kepanasan",0,0,1,0,0
Tempat wisata yang bagus suasana persawahan.. Pemandian air sumber asli cocok buat liburan kluarga dan anak anak bermain,1,0,0,1,0
Blm maximal..... Mungkin krn msh baru,0,0,0,0,0
Tempat yg sangat bkin hati tenang,1,0,0,0,0
Jos murmer.. Paling enak bawa motor karena akses jalan masuk ke lokasi sempit kalo bawa mobil apalagi saat tanggal merah rame jd agak susah kalau lagi papasan sama mobil yg mau keluar/masuk,0,0,1,0,0
Pemandangan yg bagus sejuk adeeem,1,0,0,0,0
Tempatnya asyik dan luas,1,0,0,0,0
Tempatnya sejuk. Pemandangan sangat indah dan alami dengan hamparan sawah hijau dan kolam ikan...,1,0,0,1,0
Tempat pilihan untuk wisata lokal area trawas.. suhunya yg sejuk khas trawas.. dengan air jernih pegunungan.. jadi nyaman berjam jam berendam kaki,1,0,0,1,0
"Tempatnya cukup menenangkan dan memanjakan mata dengan view gunung dan sawah, hanya saja sayang jarak lokasi untuk beli makanan terbilang agak jauh.",0,0,0,0,1
Tempat wisata yg terkenal indahnya ini oke banget. Anak saya betah di sana berenang berlama2. Airnya dinginn bgt seger. Htm 5k anak sy3th gak kehitung. Parkir cuma 3k. Cuma kamar mandinya yg kurang memadai. Tempat makannya juga masih proses pembangunan. Tapi murah2 sih,0,0,1,1,1
"Mata air yg jernih, pemandangan yg masih alami natural.",1,0,0,0,0
Bgus...tempt alami n seger..cm tmpt ngopi nya gk ada mknn nya cm pop mie aja..kali2 ditmbhin bakso.nasi pecel...hbs berendam kn laperr,1,0,0,0,1
Murah dan bagus,1,0,0,0,0
Warung yang sangat nyaman dan tempat nya luas dan setrategis cocok buat santai,1,0,0,0,0
Addmmm (Asli) Ademmm,1,0,0,0,0
Wisata murah.. tapi bagus banget,1,0,0,0,0
"Tempat tujuan berupa daya tarik wisata berupa sawah dengan latar hutan dan gunung penanggungan, sangat istimewa dan keren HTM : 5000 Parkir : 3000 Banyak stand warung jajanan disini yang tentunya harganya sangat murah meriah banget . Jajan aja dan hidupi bangsamu sendiri dengan membeli buatan lokal . Hahaha Oiya nantika ulasan dan artikelnya di kanal blog saya : ranggabranco.blogspot.com dan di chanel Youtube saya : BranxcoTV Enjoy !!",1,0,1,0,1
Buat liburan bawah anak kecil bisa mandi Dikolam yg airnya berasal dari mata air sumber. Sama pemandangan sawah dgn latarbelakang GG penangungan,1,0,0,1,0
Bagus tempat nya cuma akses jalan menuju lokasi sempit untuk di lalui mobil dan jalan masih rusak perlu pembenahan jalan harus nya ada 2 jalan untuk masuk dan keluar nya soal nya untuk simpangan harus ngalah salah satu,0,0,1,0,0
Cocok buat wisata keluarga,1,0,0,0,0
Mantap,1,0,0,0,0
"Wisatanya bagus dan penjualnya ramah, tapi kamar mandinya tidak ada kuncinya dan kurang bersih.",0,1,1,0,0
"Tempatnya sejuk, ank kecil juga bisa menikmatinya",1,0,0,0,0
sangat murni alami...,1,0,0,0,0
nice view pemandangan yang bagus,1,0,0,0,0
Puas banget,1,0,0,0,0
Keren.. kami suka suasananya,1,0,0,0,0
Damai sejuk tenang nyaman dingin pastinya,1,0,0,0,0
Bagus sekali air nya bening bgt...,1,0,0,0,0
"tempat wisata bertema alam, tempat nya asri, ada fasilitas warung, toilet, dan ada kolam air untuk anak kecil maupum orang dewasa",1,0,1,1,1
"Asri dan nyaman sih..cm kurang menarik wisatanya,,mngkn krn msh proses pmbngunan kali yaa ...smoga pas kesini lg mkin keren nih tmpt",0,0,0,0,0
"Cocok banget buat selfhealing low budget makanan nya juga murah""",1,0,0,0,1
"Seruuuu bgt. Ada beberapa gazebo di tengah sawa. Ada campground, ada ATV 25000 aja sewa nya, ada pemandian dan foodcourd aja, ada kolam ikan, ada bukit, masuk cmn 5000 doang parkir 3000 azaa...",1,0,1,1,0
Cuma akses jln masuknya untuk mobil perlu koordinasi yg lbih baik buat tukang parkirnya,0,1,0,0,0
asri alami,1,0,0,0,0
Wana wisata alam baru di Trawas,1,0,0,0,0
Tempat lumayan buat kumpul bareng keluarga buat anak berenang juga seruh c...dan perlu dibenahi lagi jalannya.,0,0,1,1,0
"Suasana pedesaan yang asri, hijau nan subur. Ada kolam renang, warung makan, dan saung di tengah sawah. HTM nya cukup 5 ribu rupiah. Kalau kesini wajib bawa topi araupun payung. Karena panas dan gak ada tempat berteduh yang memadai",0,0,1,1,1
Sejuk.......,1,0,0,0,0
Bintang lima khusus untuk pelayanan yg bersahabat dan harga yg murah. Untuk fasilitas sih masih belum maksimal tapi sy yakin akan terus ditambahkan,1,1,1,0,0
Pemandangannya asri serba hijau bak permadani. Sumber airnya segar. Kesana agak siang panas jd cocok untuk berjemur,0,0,1,0,0
Tempatnya adem.. Seger banget.. Ijo.. Asri.. Parkiran juga luas,1,0,1,0,0
Green field love it Lapangan hijau menyukainya,1,0,0,0,0
Lumayan,1,0,0,0,0
"Alhamdulillah puas berada disana, pengelola, penjual, penata parkir semua ramah ramah, suasana adem khas pegunungan dan air kolam renangnya sejuk langsung dari mata air, Cuma untuk jalannya masih perlu diperbaiki, dan parkirnya kurang luas jadi harus gantian kendaraan keluar masuk Over all semuanya memuaskan dan harga tiket cuma 5.000 saja murah meriah...",0,1,1,1,0
Nyuaman mumer mata air sumber asli duingin bersih....,1,0,0,0,0
Udara sejuk.... Masih alami dan asri,1,0,0,0,0
"Tempat wisata sangat menyenangkan sekali. Harga sangat murah cuma 5.000 saja. Tempat luas indah. Bisa berenang ada kolam anak dan kolam dewasa. Cocok buat keluarga dan teman"".",1,0,0,1,0
"Masih dalam tahap pengembangan, semoga segera selesai, rekomendasi kesini diatas jam 13.00 Karena matahari terik ... jalan akses lumayan masih Makadam",0,0,1,0,0
Bagus dgn harga segitu,1,0,0,0,0
Tempat teduh kurang jadinya wisatawan nya kepanasan..,0,0,1,0,0
Jalan mau ke tempat wisatanya mohon di benahi terlebih dahulu,0,0,1,0,0
